City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Castro,BR,2022-05-27 19:14:54,-24.7911,-50.0119,68.14,59,83,7.81
158,Pandan,PH,2022-05-27 19:23:43,14.0453,124.1694,79.47,87,94,6.73
159,Skokovi,BA,2022-05-27 19:23:43,45.0314,15.9144,65.19,78,16,0.96
160,Iqaluit,CA,2022-05-27 19:23:15,63.7506,-68.5145,29.93,63,100,4.61
161,Margate,GB,2022-05-27 19:19:24,51.3813,1.3862,63.7,66,11,1.99
162,Yingkou,CN,2022-05-27 19:23:43,40.6648,122.2283,65.12,52,93,14.79
163,Codrington,AU,2022-05-27 19:14:50,-38.2667,141.9667,50.13,87,96,5.95
164,La Ronge,CA,2022-05-27 19:20:56,55.1001,-105.2842,55.65,54,75,14.97
165,Canyon,US,2022-05-27 19:21:44,34.9803,-101.9188,90.52,27,0,20.96
166,Martapura,ID,2022-05-27 19:23:44,-3.4167,114.85,75.29,100,100,3.44
167,Humberto De Campos,BR,2022-05-27 19:23:44,-2.5983,-43.4611,81.14,84,15,4.21
168,Saskylakh,RU,2022-05-27 19:14:50,71.9167,114.0833,21.0,95,98,5.08
169,Custodia,BR,2022-05-27 19:23:44,-8.0875,-37.6431,76.33,67,87,15.73
170,Shingu,JP,2022-05-27 19:23:45,33.7333,135.9833,62.29,71,0,6.13
171,Yulara,AU,2022-05-27 19:20:49,-25.2406,130.9889,57.88,59,48,10.71
172,Karratha,AU,2022-05-27 19:17:23,-20.7377,116.8463,77.54,72,87,3.51
173,Mecca,SA,2022-05-27 19:16:42,21.4267,39.8261,89.47,20,0,5.66
174,Dalbandin,PK,2022-05-27 19:23:45,28.8947,64.4101,87.53,10,0,6.55
175,Lincoln,US,2022-05-27 19:20:51,40.8,-96.667,84.0,51,0,13.8
176,Tessalit,ML,2022-05-27 19:23:45,20.1986,1.0114,99.21,11,92,8.48
177,Wewak,PG,2022-05-27 19:23:46,-3.5534,143.6268,78.85,81,100,2.44
178,Colares,PT,2022-05-27 19:23:46,38.7992,-9.4469,81.59,28,0,12.66
179,Kruisfontein,ZA,2022-05-27 19:23:46,-34.0033,24.7314,55.89,92,39,3.06
180,Joanopolis,BR,2022-05-27 19:23:46,-22.9303,-46.2756,69.35,54,100,4.92
181,Tukrah,LY,2022-05-27 19:23:47,32.5341,20.5791,80.96,31,0,9.62
182,Los Llanos De Aridane,ES,2022-05-27 19:19:46,28.6585,-17.9182,67.75,69,75,6.91
183,Kharan,PK,2022-05-27 19:23:47,28.5833,65.4167,91.8,10,15,8.43
184,Camacha,PT,2022-05-27 19:24:47,33.0833,-16.3333,65.62,68,40,9.22
185,Elko,US,2022-05-27 19:23:18,41.0002,-115.5012,78.06,15,100,14.0
186,Hilo,US,2022-05-27 19:10:35,19.7297,-155.09,79.29,74,100,4.61
187,Oranjemund,NA,2022-05-27 19:24:47,-28.55,16.4333,55.6,92,0,1.12
188,Hasaki,JP,2022-05-27 19:16:04,35.7333,140.8333,61.2,75,4,8.59
189,Ponta Do Sol,PT,2022-05-27 19:20:56,32.6667,-17.1,70.0,72,74,6.6
190,Luderitz,NA,2022-05-27 19:16:06,-26.6481,15.1594,56.19,90,4,6.04
191,Nalut,LY,2022-05-27 19:24:48,30.3333,10.85,83.12,16,0,13.42
192,Nanortalik,GL,2022-05-27 19:24:48,60.1432,-45.2371,36.32,91,100,14.12
193,Nesbyen,NO,2022-05-27 19:22:14,60.5681,9.1027,51.37,59,100,1.99
194,Mataura,NZ,2022-05-27 19:16:02,-46.1927,168.8643,37.47,90,100,3.53
195,Raahe,FI,2022-05-27 19:24:48,64.6833,24.4833,46.49,99,100,6.06
196,Bandarbeyla,SO,2022-05-27 19:17:20,9.4942,50.8122,80.33,81,64,20.92
197,Kysyl-Syr,RU,2022-05-27 19:19:47,63.8986,122.7617,33.37,78,12,8.43
198,Malanje,AO,2022-05-27 19:24:49,-9.5402,16.341,64.92,47,0,1.5
199,Mpongwe,ZM,2022-05-27 19:24:49,-13.5091,28.155,60.98,57,0,7.78
200,Guerrero Negro,MX,2022-05-27 19:15:00,27.9769,-114.0611,69.35,58,1,16.75
201,Havoysund,NO,2022-05-27 19:24:49,70.9963,24.6622,41.23,93,100,20.51
202,Poum,NC,2022-05-27 19:23:19,-20.2333,164.0167,76.57,76,50,10.56
203,Ponta Delgada,PT,2022-05-27 19:24:49,37.7333,-25.6667,65.12,82,20,9.22
204,Vaitape,PF,2022-05-27 19:24:50,-16.5167,-151.75,81.25,64,4,18.54
205,Presidente Medici,BR,2022-05-27 19:24:50,-11.1753,-61.9014,87.78,44,2,2.91
206,Panshi,CN,2022-05-27 19:24:50,42.9422,126.0561,50.54,92,100,5.14
207,Pedasi,PA,2022-05-27 19:23:08,7.5333,-80.0333,82.04,76,99,0.94
208,Punto Fijo,VE,2022-05-27 19:24:50,11.6956,-70.1996,85.33,59,100,11.23
209,Linxia,CN,2022-05-27 19:24:51,35.6003,103.2064,53.78,55,79,4.09
210,Blagoveshchenka,RU,2022-05-27 19:24:51,52.8333,79.8667,64.83,54,79,5.26
211,Abnub,EG,2022-05-27 19:24:51,27.2696,31.1511,87.75,17,0,10.27
212,Asbe Teferi,ET,2022-05-27 19:24:51,9.0833,40.8667,65.95,58,100,5.5
213,Vengerovo,RU,2022-05-27 19:24:52,55.6848,76.7471,57.72,80,0,13.71
214,Dunda,TZ,2022-05-27 19:24:52,-8.1167,34.25,65.08,72,21,4.54
215,Narsaq,GL,2022-05-27 19:22:04,60.9167,-46.05,52.02,64,100,3.22
216,Bathsheba,BB,2022-05-27 19:19:44,13.2167,-59.5167,83.01,74,40,20.71
217,Teguldet,RU,2022-05-27 19:24:52,57.3064,88.1667,46.49,78,0,4.83
218,Pevek,RU,2022-05-27 19:18:29,69.7008,170.3133,27.79,84,100,10.47
219,Abu Samrah,SY,2022-05-27 19:24:52,35.3029,37.1841,80.69,28,0,8.57
220,Berlevag,NO,2022-05-27 19:22:07,70.8578,29.0864,39.15,100,100,19.57
221,Hithadhoo,MV,2022-05-27 19:24:53,-0.6,73.0833,83.7,73,42,11.86
222,Norman Wells,CA,2022-05-27 19:18:34,65.282,-126.8329,51.84,58,75,21.85
223,Tuatapere,NZ,2022-05-27 19:19:38,-46.1333,167.6833,45.39,91,96,5.93
224,Hofn,IS,2022-05-27 19:14:55,64.2539,-15.2082,47.73,79,12,12.71
225,Tevaitoa,PF,2022-05-27 19:24:53,-16.7833,-151.5,80.92,65,16,19.33
226,Lorengau,PG,2022-05-27 19:23:14,-2.0226,147.2712,79.03,70,93,0.67
227,Bisho,ZA,2022-05-27 19:24:53,-32.8472,27.4422,53.42,89,0,3.65
228,Cerqueira Cesar,BR,2022-05-27 19:24:54,-23.0356,-49.1661,73.8,46,100,8.21
229,Koslan,RU,2022-05-27 19:24:54,63.4564,48.8989,48.85,69,96,7.78
230,Pretoria,ZA,2022-05-27 19:22:20,-25.7449,28.1878,60.91,59,0,4.61
231,Gornopravdinsk,RU,2022-05-27 19:25:54,60.05,69.9,52.7,94,100,8.79
232,Kendari,ID,2022-05-27 19:25:54,-3.945,122.4989,73.9,93,100,2.28
233,Antofagasta,CL,2022-05-27 19:16:09,-23.65,-70.4,60.08,73,34,7.56
234,Mudgee,AU,2022-05-27 19:25:55,-32.5943,149.5871,51.78,96,91,1.97
235,Sambava,MG,2022-05-27 19:25:55,-14.2667,50.1667,73.72,85,24,11.52
236,Asau,RO,2022-05-27 19:22:10,46.4333,26.4,63.52,81,63,5.77
237,Buzdyak,RU,2022-05-27 19:25:55,54.5833,54.55,51.31,92,33,13.11
238,Kotma,IN,2022-05-27 19:25:55,23.2,81.9667,82.89,36,70,5.55
239,Weyburn,CA,2022-05-27 19:21:20,49.6668,-103.8511,70.02,35,100,3.44
240,Belyy Yar,RU,2022-05-27 19:25:56,53.6039,91.3903,51.69,69,0,11.18
241,Emba,KZ,2022-05-27 19:25:56,48.8264,58.1442,57.94,62,70,1.05
242,Dudinka,RU,2022-05-27 19:25:56,69.4058,86.1778,38.62,96,94,8.48
243,Tambacounda,SN,2022-05-27 19:25:56,13.7539,-13.7586,94.33,38,100,3.29
244,Talnakh,RU,2022-05-27 19:20:48,69.4865,88.3972,38.21,97,100,4.97
245,Constitucion,CL,2022-05-27 19:24:32,-35.3333,-72.4167,54.32,52,100,9.35
246,Kalmunai,LK,2022-05-27 19:25:57,7.4167,81.8167,78.98,83,100,5.61
247,Udachnyy,RU,2022-05-27 19:25:57,66.4167,112.4,34.45,69,100,3.53
248,Hambantota,LK,2022-05-27 19:25:57,6.1241,81.1185,79.12,83,51,16.06
249,Manali,IN,2022-05-27 19:25:57,13.1667,80.2667,86.09,83,67,14.12
250,Klaksvik,FO,2022-05-27 19:17:23,62.2266,-6.589,45.52,87,100,23.94
251,Maceio,BR,2022-05-27 19:25:58,-9.6658,-35.7353,80.04,73,75,12.66
252,Denpasar,ID,2022-05-27 19:23:04,-8.65,115.2167,80.26,89,75,5.75
253,Riachao Do Jacuipe,BR,2022-05-27 19:21:44,-11.8069,-39.3856,76.84,67,84,10.98
254,Boa Vista,BR,2022-05-27 19:22:41,2.8197,-60.6733,85.98,66,75,4.61
255,Farafangana,MG,2022-05-27 19:25:58,-22.8167,47.8333,69.46,84,11,11.34
256,Badin,PK,2022-05-27 19:25:58,24.656,68.8384,83.39,77,24,20.33
257,Tasiilaq,GL,2022-05-27 19:25:58,65.6145,-37.6368,39.38,67,100,4.0
258,Inuvik,CA,2022-05-27 19:25:59,68.3499,-133.7218,36.46,80,100,14.97
259,Bethel,US,2022-05-27 19:25:59,41.3712,-73.414,80.69,73,75,11.5
260,Portland,US,2022-05-27 19:21:32,45.5234,-122.6762,61.75,70,100,8.05
261,Amudat,UG,2022-05-27 19:25:59,1.95,34.95,67.21,86,55,5.41
262,Bengkulu,ID,2022-05-27 19:25:59,-3.8004,102.2655,75.88,90,100,6.24
263,Mehamn,NO,2022-05-27 19:21:58,71.0357,27.8492,39.11,96,100,20.2
264,Balsas,BR,2022-05-27 19:26:00,-7.5325,-46.0356,89.49,40,35,9.57
265,Srednekolymsk,RU,2022-05-27 19:26:00,67.45,153.6833,37.13,45,18,5.46
266,Saldanha,ZA,2022-05-27 19:20:56,-33.0117,17.9442,53.65,86,0,7.78
267,Oktyabrskiy,RU,2022-05-27 19:26:00,54.4815,53.471,52.16,92,100,14.14
268,Xiantao,CN,2022-05-27 19:26:01,30.3833,113.4,68.09,97,100,1.25
269,Tazovskiy,RU,2022-05-27 19:26:01,67.4667,78.7,46.54,63,100,9.19
270,Olinda,BR,2022-05-27 19:23:17,-8.0089,-34.8553,76.73,94,100,16.11
271,Cherskiy,RU,2022-05-27 19:23:22,68.75,161.3,31.01,65,99,13.78
272,Kavieng,PG,2022-05-27 19:17:22,-2.5744,150.7967,80.94,64,100,1.01
273,Tura,IN,2022-05-27 19:19:40,25.5198,90.2201,70.18,88,7,4.34
274,Pano Aqil,PK,2022-05-27 19:26:01,27.8569,69.1116,93.09,23,3,13.13
275,Siuna,NI,2022-05-27 19:26:01,13.7332,-84.7773,84.83,65,96,3.42
276,Wenling,CN,2022-05-27 19:26:02,28.3669,121.36,66.6,95,100,2.8
277,Sabla,NG,2022-05-27 19:26:02,12.7525,4.7077,95.88,28,21,11.43
278,Alexander City,US,2022-05-27 19:26:02,32.944,-85.9539,80.38,44,0,10.36
279,Dezful,IR,2022-05-27 19:27:03,32.3811,48.4058,84.87,10,0,4.43
280,Namatanai,PG,2022-05-27 19:18:32,-3.6667,152.4333,77.83,80,100,1.97
281,Aykhal,RU,2022-05-27 19:20:50,66.0,111.5,33.03,75,100,2.13
282,Kaitangata,NZ,2022-05-27 19:20:48,-46.2817,169.8464,39.52,82,100,5.01
283,Felanitx,ES,2022-05-27 19:18:28,39.4696,3.1483,74.01,58,0,6.73
284,Riyadh,SA,2022-05-27 19:17:31,24.6877,46.7219,91.54,13,6,10.49
285,Cabo San Lucas,MX,2022-05-27 19:18:26,22.8909,-109.9124,91.71,29,0,9.22
286,Semnan,IR,2022-05-27 19:27:03,35.5729,53.3971,71.6,31,0,5.23
287,Aginskoye,RU,2022-05-27 19:27:04,51.1,114.53,41.16,58,10,9.66
288,Vostok,RU,2022-05-27 19:19:44,46.4856,135.8833,48.83,95,100,1.05
289,Kula,TR,2022-05-27 19:27:04,38.5473,28.6498,71.02,48,13,5.95
290,Isangel,VU,2022-05-27 19:22:03,-19.55,169.2667,76.84,86,100,7.81
291,Dharchula,IN,2022-05-27 19:27:04,29.85,80.5333,67.5,81,45,2.1
292,Port Macquarie,AU,2022-05-27 19:27:05,-31.4333,152.9167,52.9,92,53,4.16
293,Gizo,SB,2022-05-27 19:27:05,-8.103,156.8419,82.17,76,100,9.04
294,Sharjah,AE,2022-05-27 19:27:05,25.3573,55.4033,91.69,33,0,4.61
