City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
893,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
894,Poum,NC,76.64,few clouds,-20.2333,164.0167,
901,Asmar,AF,74.79,clear sky,35.0333,71.3581,COP Monti
904,Najran,SA,86.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
905,Alto Araguaia,BR,83.79,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
906,Aksu,CN,78.76,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
908,Amapa,BR,79.48,few clouds,1.0,-52.0,
909,Mirabad,AF,77.34,clear sky,30.4362,61.8383,
910,Tuscaloosa,US,82.09,broken clouds,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
911,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
912,Caravelas,BR,76.6,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
913,Mersin,TR,75.36,clear sky,36.862,34.6509,Nostalgia Boutique Hotel
914,Saraland,US,87.1,clear sky,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
915,Hobyo,SO,78.44,few clouds,5.3505,48.5268,Iftin hotel hobyo
918,Huntington,US,73.87,broken clouds,38.4193,-82.4452,Ramada Limited Huntington
920,Nishihara,JP,78.85,broken clouds,26.1842,127.7558,Minshuku Agaihama
921,Tamandare,BR,73.98,light rain,-8.7597,-35.1047,Pousada 100 Passos
925,Honiara,SB,76.69,overcast clouds,-9.4333,159.95,Heritage Park Hotel
926,Northport,US,82.13,broken clouds,33.229,-87.5772,Hotel Capstone
927,Half Moon Bay,US,76.87,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
930,Vao,NC,74.46,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
931,Melivoia,GR,74.82,clear sky,39.75,22.8,Το Αγνάντι - Ξενώνας // To Agnadi - Guesthouse
933,Yilan,TW,77.36,few clouds,24.757,121.753,Dar Chen Hotel
935,Paraiso,CR,74.26,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
936,Tautira,PF,79.48,scattered clouds,-17.7333,-149.15,Pension Oaoa
937,Antsohihy,MG,75.2,broken clouds,-14.8796,47.9875,Hotel de Ville
939,Abonnema,NG,78.24,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
941,Oyama,JP,72.59,clear sky,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
942,Parang,PH,74.1,overcast clouds,7.3704,124.2697,D' Vapors House
943,Posse,BR,82.87,clear sky,-14.0931,-46.3694,Pousada das Palmeiras
946,Indramayu,ID,78.55,scattered clouds,-6.3264,108.32,Grand Trisula Hotel
951,Lompoc,US,73.69,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
957,Luanda,AO,75.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
960,Davila,PH,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
964,Tura,IN,72.54,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
965,Sinjai,ID,74.52,overcast clouds,-5.1241,120.253,Wisma Sandika
968,Baracoa,CU,83.57,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
970,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
971,Bambanglipuro,ID,75.63,scattered clouds,-7.95,110.2833,Puri Brata
976,Gizo,SB,81.36,broken clouds,-8.103,156.8419,Imagination Island
978,Iracoubo,GF,80.85,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
979,Huicheng,CN,77.43,overcast clouds,23.0385,116.2899,Huilai Hotel
980,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
981,Chabahar,IR,84.16,clear sky,25.2919,60.643,هتل گدروشیا
982,Anamur,TR,78.4,scattered clouds,36.0751,32.8369,Luna Piena Beach Hotel
983,Pringsewu,ID,73.69,overcast clouds,-5.3582,104.9744,Urban Style by Front One
985,Bennettsville,US,88.09,clear sky,34.6174,-79.6848,Quality Inn
986,Kuah,MY,85.98,light rain,6.3265,99.8432,Azio Hotel
988,Baijiantan,CN,77.77,clear sky,45.6333,85.1833,
990,Viransehir,TR,77.34,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
991,Alyangula,AU,73.45,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
992,Kismayo,SO,79.16,light rain,-0.3582,42.5454,Agan-Hotel
995,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
996,Wyndham,US,80.06,few clouds,37.6985,-77.6125,Hilton Richmond Hotel & Spa/Short Pump
997,Roebourne,AU,73.78,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
1000,San Patricio,US,93.92,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
1005,Trat,TH,75.29,moderate rain,12.5,102.5,สวนหนิง-อัศ
1006,Placido De Castro,BR,90.91,broken clouds,-10.3353,-67.1856,Hotel Carioca
1009,Avera,US,84.54,clear sky,33.194,-82.5271,
1010,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
1011,Bafq,IR,80.2,clear sky,31.6128,55.4107,Alamdar Hotel
1014,Alibag,IN,86.07,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
1016,Harper,LR,79.81,clear sky,4.375,-7.7169,Screensaver
1017,Uarini,BR,83.25,broken clouds,-2.99,-65.1083,
1019,Carauari,BR,82.2,few clouds,-4.8828,-66.8958,Hotel Fellip
1022,Grand Forks,US,78.78,scattered clouds,47.9417,-97.4337,Warrior Inn
1024,Jeremie,HT,83.66,overcast clouds,18.65,-74.1167,Auberge’Inn
1026,Saint George,US,90.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
1028,Cutler,US,90.99,scattered clouds,25.6151,-80.3106,Quality Inn Miami South
1032,The Valley,AI,84.34,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
1033,Asyut,EG,86.74,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
1034,Sarangani,PH,83.25,light rain,5.4033,125.4636,JVL Inn and Cafeteria
